442,小米,小米Note,12个月碎屏保A+（联通）,10262,35.00,12,0,0
52,小米,4c,12个月碎屏保A+（联通）,10262,35.00,12,0,0
53,小米,红米Note,12个月碎屏保A+（联通）,10262,35.00,12,0,0
54,苹果,iPhone5S,12个月碎屏保A+（联通）,10262,35.00,12,0,0
55,苹果,iPhone 5C,12个月碎屏保A+（联通）,10262,35.00,12,0,0
57,苹果,iPhone 5,12个月碎屏保A+（联通）,10262,35.00,12,0,0
58,苹果,iPhone 4S,12个月碎屏保A+（联通）,10262,35.00,12,0,0
64,小米,米3,12个月碎屏保A+（联通）,10262,35.00,12,0,0
65,三星,Note 4,12个月碎屏保A+（联通）,10262,35.00,12,0,0
66,三星,Note 3,12个月碎屏保A+（联通）,10262,35.00,12,0,0
67,三星,S4,12个月碎屏保A+（联通）,10262,35.00,12,0,0
68,三星,S5,12个月碎屏保A+（联通）,10262,35.00,12,0,0
69,三星,S6,12个月碎屏保A+（联通）,10262,35.00,12,0,0
71,三星,A7,12个月碎屏保A+（联通）,10262,35.00,12,0,0
72,三星,A5,12个月碎屏保A+（联通）,10262,35.00,12,0,0
73,三星,A8,12个月碎屏保A+（联通）,10262,35.00,12,0,0
74,三星,E7,12个月碎屏保A+（联通）,10262,35.00,12,0,0
75,三星,A3,12个月碎屏保A+（联通）,10262,35.00,12,0,0
76,三星,J5008,12个月碎屏保A+（联通）,10262,35.00,12,0,0
77,三星,J7008,12个月碎屏保A+（联通）,10262,35.00,12,0,0
78,三星,G5109,12个月碎屏保A+（联通）,10262,35.00,12,0,0
80,三星,GALAXY Mega 2,12个月碎屏保A+（联通）,10262,35.00,12,0,0
81,三星,Note5,12个月碎屏保A+（联通）,10262,35.00,12,0,0
82,三星,Note EDGE,12个月碎屏保A+（联通）,10262,35.00,12,0,0
83,三星,Galaxy Active Neo,12个月碎屏保A+（联通）,10262,35.00,12,0,0
84,OPPO,R7S,12个月碎屏保A+（联通）,10262,35.00,12,0,0
85,OPPO,R7 plus,12个月碎屏保A+（联通）,10262,35.00,12,0,0
87,OPPO,R7,12个月碎屏保A+（联通）,10262,35.00,12,0,0
88,OPPO,A31,12个月碎屏保A+（联通）,10262,35.00,12,0,0
89,OPPO,A51KC,12个月碎屏保A+（联通）,10262,35.00,12,0,0
